proc,proc2,crs,x,y
bo0,Bø0,33W,444592,7214548
bo1,Bø1,33W,444748,7215092
bo3,Bø3,33W,444865,7215236
bo5,Bø5,33W,445110,7215304
bo6,Bø6,33W,445190,7215339
am1,Åm1,ПM-101,ПM-102,ПM-104,ПM-105,ПM-106,ПM-107,ПM-108,ПM-109,32V,521551,6925935
am3,Åm3,ПM-301,ПM-302,ПM-303,ПM-304,ПM-305,ПM-307,ПM-308,ПM-310,32V,521578,6925781
am5,Åm5,32V,521612,6925662
am6,Åm6,32V,521624,6926742
am7,Åm7,32V,521804,6925270
lu1,Lu1,32V,350517,6492711
lu2,Lu2,32V,350482,6492655
lu3,Lu3,32V,350450,6492588
lu4,Lu4,32V,350585,6492530
lu5,Lu5,32V,350325,6492634
mo3,Mø3,32V,460822,6635584
mo4,Mø4,32V,460951,6635658
mo5,Mø5,32V,460762,6635808
mo6,Mø6,32V,460322,6635472
mo7,Mø7,32V,459570,6635095
gu1,Gu1,33V,351220,6879628
gu2,Gu2,33V,351296,6879810
gu3,Gu3,33V,351617,6880429
gu4,Gu4,33V,351745,6880729
gu5,Gu5,33V,351808,6880784
di1,Di1,34W,449843,7622917
di2,Di2,34W,450509,7622716
di3,Di3,34W,450888,7622674
di4,Di4,34W,451308,7622687
di5,Di5,34W,451778,7622538
so6,So6,33N,144113,6551690.94
so7,So7,33N,146807,6552088.03
so8,So8,33N,146257,6551436.301
so9,So9,33N,145256,6551218.244
so10,So10,33N,144588,6551047
